boundary_x,boundary_y
362544.3648,4522347.583
364390.5653,4556651.795
362918.6705,4522371.982
364761.4745,4556637.862
363291.3177,4522358.018
365132.3928,4556623.949
363663.974,4522344.073
365503.3032,4556610.055
364037.3301,4522346.595
364460.6006,4526422.092
364315.799,4525944.229
364298.8933,4525549.458
364281.9954,4525154.688
364265.0887,4524759.919
364233.1446,4524255.877
364262.332,4523969.22
364276.477,4523573.292
364259.58,4523178.523
364242.674,4522783.754
365877.0258,4556661.978
364258.2301,4522420.724
364834.9256,4526452.064
366247.9425,4556648.121
365207.3744,4526438.192
366618.8598,4556634.284
365579.1872,4526513.798
366989.7693,4556620.465
365819.88,4529139.272
365675.2016,4528661.384
365658.3744,4528266.61
365641.5383,4527871.838
365634.262,4527336.673
365638.9098,4527081.139
367360.6879,4556606.665
366194.0509,4529169.311
367694.115,4556682.145
366566.3619,4529155.504
367908.7643,4559310.262
367749.7445,4558723.047
367809.754,4558435.242
367793.0044,4558040.45
367776.6764,4557655.529
367759.512,4557250.868
366909.3191,4529182.342
368281.3948,4559340.372
367181.5979,4530472.679
367037.0382,4529994.766
367020.2743,4529599.991
368653.098,4559348.567
367555.7014,4530502.784
369025.7303,4559378.714
367927.9362,4530489.045
369396.5081,4559365.014
368262.5284,4530564.576
368539.1895,4533190.335
368394.7616,4532712.397
368378.068,4532317.619
368361.3823,4531922.841
368344.6876,4531528.064
368328.0009,4531133.286
369767.2781,4559351.334
368913.1472,4533220.506
370137.1298,4559315.738
369285.2526,4533206.832
370301.2928,4558804.455
370284.686,4558409.66
370268.0704,4558014.866
370237.9271,4557543.687
370348.8083,4559198.112
370295.2745,4557190.105
370278.6689,4556795.312
370262.0544,4556400.519
370245.4478,4556005.726
370228.8322,4555610.933
370212.2246,4555216.141
370195.6079,4554821.349
370188.9195,4554294.391
370217.3016,4553864.995
370200.6948,4553470.203
370184.0792,4553075.412
370167.463,4552680.621
370150.8547,4552285.83
370134.2375,4551891.04
370117.6281,4551496.25
370115.4388,4551076.216
370149.1934,4550528.554
370118.5766,4550046.413
370101.9681,4549651.624
370118.6024,4549310.53
370065.2077,4548532.677
370064.1509,4548016.5
370083.7243,4547499.566
370053.1023,4547017.427
370036.4846,4546622.639
370035.001,4546219.059
370162.9485,4548891.535
370069.952,4545698.817
370038.8652,4545205.713
370022.2484,4544810.926
370005.6394,4544416.14
369989.0216,4544021.353
369972.4116,4543626.568
369955.7927,4543231.782
369939.1816,4542836.997
369922.5616,4542442.212
369905.9495,4542047.427
369984.3719,4541489.113
369597.4153,4533244.799
369837.6961,4534526.496
369693.3663,4534048.534
369676.7411,4533653.755
370376.8331,4541442.558
370211.5699,4534556.732
370749.6688,4541456.363
370583.6073,4534543.122
371088.1688,4541391.266
370947.3743,4534579.256
371161.2339,4540914.129
371144.6814,4540519.343
371128.1368,4540124.559
371111.5833,4539729.773
371121.4228,4539224.195
371079.1756,4538956.654
371130.555,4538455.051
371100.4609,4537983.88
371083.9162,4537589.096
371067.3626,4537194.313
371050.8169,4536799.53
371032.8854,4536371.848
371016.3301,4535977.065
371012.8632,4535524.145
371041.093,4535086.542
