boundary_x,boundary_y
358524.3457035303,4547543.891796676
358529.25403081224,4547070.714312119
358581.77854793996,4548940.199643328
358565.2817689739,4546698.830619221
358558.1884334105,4546349.613744229
358551.0954924107,4546000.397043848
358544.0029674264,4545651.181628247
358536.9024109015,4545301.9654392665
358529.81067475735,4544952.750372868
358522.7193118504,4544603.534370897
358515.62836504146,4544254.319653693
358538.4740864335,4543948.1956982585
358560.7361465918,4543612.971656531
358553.64906508365,4543263.756338342
358546.56237817125,4542914.541194751
358513.96231359016,4542740.494532254
358536.23046879895,4542405.271094293
358002.98596578254,4510290.60815987
358670.23091073823,4541845.910947818
358374.71787691565,4510316.7666907655
359047.40029545117,4541808.331888237
358635.0216409713,4512685.040881471
358509.73658863606,4512260.470264497
358502.712557166,4511911.271870895
358495.68889938167,4511562.072541622
358500.4735385395,4511074.371447751
358537.0792197372,4510717.062477529
358558.0747346296,4510309.106865541
359396.5149814602,4541821.043416603
358985.90964484954,4512717.16734513
359685.9392131738,4541757.279201242
359735.862535198,4541348.752716674
359728.8360958513,4540999.538823795
359721.810068764,4540650.32621594
359741.8969247932,4540203.554511838
359762.964630574,4539805.284074861
359755.94270590675,4539456.072078929
359748.9211510136,4539106.859147698
359741.90000831627,4538757.6475014845
359734.87923543924,4538408.434919965
359727.8588748011,4538059.223623459
359734.20737300254,4537651.531669591
359336.0063633713,4512710.510482864
359769.04763923393,4537214.185219768
359762.0313796847,4536864.974535242
359743.36998404854,4536418.945514927
359767.1426009711,4535671.282663637
359757.01821199665,4535166.8673187895
359805.5854003282,4536136.342096856
359862.0964510186,4534603.245155944
359683.513401864,4512782.934643083
360238.8638443942,4534526.937126964
359850.7951755777,4515107.257385179
359725.61273179785,4514682.667471243
359718.9251416868,4514348.017236045
359711.6696592785,4513984.267925676
359716.66872390796,4513503.84227864
359726.89283214393,4513285.316601526
360587.92597904,4534520.313268498
360201.55291690154,4515139.438660186
360906.9762715034,4534467.693698337
360551.53363054077,4515132.8363479385
360985.90492698166,4534046.992355453
360967.3215352576,4533600.963825654
361029.60576949525,4533318.375018399
361022.65737338644,4532969.165498699
361015.70936444815,4532619.956154124
361008.7617636667,4532270.748094817
361001.81452914246,4531921.539100482
360994.86770281557,4531572.331391408
360987.9212427936,4531223.122747299
360980.9667698352,4530873.915547413
360974.0210840065,4530524.707253517
360967.07580646046,4530175.500244867
360973.38171517313,4529760.541527507
360984.26891483885,4528843.323855556
360957.85190208093,4528247.036510809
361010.2476840132,4529417.785684959
360974.77841029543,4529098.227954064
360986.5983366416,4527739.470442722
361083.92055860336,4527262.14963678
360898.9226461802,4515205.314459415
361065.8070985276,4517529.662314267
360929.0914250015,4517008.235019695
360953.88906258414,4516296.9784659725
360943.36839014734,4515765.902130861
360962.96727732255,4516755.303642339
361432.74561539287,4527226.474011053
361416.45140531077,4517561.898097809
361782.16100496653,4527219.915352979
361766.3160691897,4517555.3503515925
362101.5369568716,4527167.357332394
362180.6292583706,4526746.67726947
362173.7488590839,4526397.472467415
362166.86882277206,4526048.266730577
362202.8718476952,4525657.504882122
362151.733833619,4524787.067674023
362133.0433884901,4524331.3434664635
362153.9607093282,4523913.694615154
362147.27436982666,4523574.190311816
362113.5701281785,4517627.882748923
362208.49120661523,4525203.267234406
362168.38685644034,4523166.242227483
362161.5131490369,4522817.039237476
362249.22619246674,4522407.84800617
362280.0737890225,4519952.255450676
362143.47022227634,4519430.807216965
362167.0817998266,4518654.078583849
362206.2410004985,4519162.787529857
362186.5064725055,4518158.833364136
362619.676155998,4522400.946618295
362630.58771743387,4519984.5449655
362969.8840900512,4522423.550394428
362980.3362867035,4519978.051800444
363289.47584623616,4522371.0495248055
363326.98557761865,4520025.695242088
363357.2912610901,4521863.266743081
363419.6057255312,4521571.007787147
363412.79437963385,4521221.804801
363406.0372313149,4520875.512743055
363399.1644154453,4520523.4006215725
